学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024,Arts & Humanities,Archaeology,Architecture,Art & Design,Classics,English Language,History$,History of Art,Linguistics,Modern Languages,Music,Performing Arts,Philosophy,Theology,Engineering & Technology,Computer Science,Data Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Petroleum Engineering,Life Sciences & Medicine,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Natural Sciences,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Mathematics,Materials Science,Physics,Social Sciences & Management,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Marketing,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics
加的斯大学,Universidad de Cadiz,西班牙,-,1346,1201,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
坎塔布里亚大学,Universidad de Cantabria,西班牙,-,681,-,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
科尔多瓦大学 - 哥伦比亚,Universidad de Córdoba - Colombia,哥伦比亚,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃斯特雷马杜拉大学,Universidad de Extremadura,西班牙,-,1207,-,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韦尔瓦大学,Universidad de Huelva,西班牙,-,1836,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈恩大学,Universidad de Jaen,西班牙,-,1304,801,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉里奥哈大学,Universidad de La Rioja,西班牙,-,1836,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厄瓜多军事理工学院,Universidad de las Fuerzas Armadas – ESPE,厄瓜多尔,-,-,1501,-,,,,,,,,,,,,,,,,751-850,,,,,,,101-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大加那利岛拉斯帕尔马斯大学,Universidad de Las Palmas de Gran Canaria,西班牙,-,1387,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛斯安第斯大学-（ULA）梅里达,Universidad de Los Andes - (ULA) Mérida,委内瑞拉,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马拉加大学,Universidad de Malaga,西班牙,-,937,1201,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维多利亚大学,University of Victoria,加拿大,358,394,301,301,=373,,,,,201-250,,,201-250,,,,,,501-550,301-350,,,,351-400,501-575,,,,,,,,551-600,151-225,,251-300,,401-450,601-700,201-275,351-400,,151-200,151-200,251-300,,351-400,,,,501-550,,,,301-350,,351-400,,,301-400,,,101-150,
索诺拉大学,Universidad de Sonora,墨西哥,-,2062,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维多利亚大学,Victoria University,澳大利亚,741-750,785,401,-,,,,,,,,,,,,,,,,601-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51-100,
萨尔瓦多大学,Universidad del Salvador,阿根廷,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣安德烈斯市长大学 (UMSA),Universidad Mayor de San Andrés (UMSA),玻利维亚,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,151-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣尼古拉斯·德·伊达尔戈大学,Universidad Michoacana de San Nicolas de Hidalgo,墨西哥,-,2062,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
米格尔·埃尔南德斯·埃尔切大学,Universidad Miguel Hernandez de Elche,西班牙,-,1624,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洪都拉斯国立自治大学 (UNAH),Universidad Nacional Autónoma de Honduras (UNAH),洪都拉斯,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国民教育大学（UNED）,Universidad Nacional de Educacion a Distancia (UNED),西班牙,-,1667,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国立德拉松森大学,Universidad Nacional de la Asunción,巴拉圭,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玛德普拉塔国立大学,Universidad Nacional de Mar del Plata,阿根廷,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,351-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奎尔姆斯国立大学,Universidad Nacional de Quilmes,阿根廷,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Nacional,Universidad Nacional de Río Cuarto - UNRC,阿根廷,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,401-475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国立塔库马大学,Universidad Nacional de Tucumà¡n,阿根廷,-,2079,-,-,,,,,,,,,,,,,,,,,,,,,,,,,401-475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡塔赫纳政治大学,Universidad Politecnica de Cartagena,西班牙,-,1637,-,-,,,,,,,,,,,,,,34,,,,,,501-550,,,,,,,,,,,,,,,,,,,,,,,,501-550,,,301-350,,,401-450,,,301-350,,,,,,,
慈幼理工大学,Universidad Politécnica Salesiana,厄瓜多尔,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣伊格纳西奥德洛约拉大学,Universidad San Ignacio de Loyola,秘鲁,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101-150,,,,,,,,
西蒙玻利瓦尔大学（USB）,Universidad Simón Bolívar (USB),委内瑞拉,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利瓦尔理工大学,Universidad Tecnológica de Bolívar,哥伦比亚,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈瓦那理工大学 José Antonio,"Universidad Tecnológica de la Habana José Antonio Echeverría, Cujae",古巴,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佩雷拉理工大学,Universidad Tecnológica de Pereira,哥伦比亚,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韦拉克鲁萨纳大学,Universidad Veracruzana,墨西哥,-,2016,-,-,,,,,,,,,,,,,,,,,,,,501-550,,,,,151-200,,451-500,,,,,,,,501-550,,,,,,,,,,,,,,,,,,,,,,,,,
西巴拉那州立大学（Unioeste）,Universidade Estadual do Oeste do Paraná (Unioeste),巴西,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
格兰德杜拉多斯联邦大学,Universidade Federal da Grande Dourados,巴西,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帕拉伊巴联邦大学,Universidade Federal da Paraíba,巴西,-,1592,-,-,,,,,,,,,,,,,,,,,,,,,,,,,351-400,,,51-120,501-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
坎皮纳格兰德联邦大学,Universidade Federal de Campina Grande,巴西,-,2109,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣若昂德雷联邦大学,Universidade Federal de Sao Joao del-Rei,巴西,-,1860,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
里约格兰德联邦大学,Universidade Federal do Rio Grande,巴西,-,1945,-,-,=356,,201-260,,,,201-250,,,301-350,,,,,401-450,351-400,,301-350,201-275,351-400,351-400,,,=329,151-200,,401-450,51-120,251-300,151-225,301-350,301-350,,401-450,401-450,,351-400,,,,401-450,351-400,401-450,401-450,,101-170,401-450,,,451-500,351-400,,301-350,,,301-400,,201-250,,201-250
特里安古洛米内罗联邦大学,Universidade Federal do Triângulo Mineiro,巴西,-,2062,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
里约热内卢联邦农村大学（UFRRJ）,Universidade Federal Rural do Rio de Janeiro (UFRRJ),巴西,-,2161,-,-,=121,,101-150,201-260,,251-300,101-150,,151-200,101-150,,,,,=187,201-250,,101-150,101-150,151-200,151-200,51-100,=40,=224,351-400,101-170,201-250,51-120,701-850,151-225,201-250,251-300,,=233,201-250,,201-250,101-150,,,201-250,301-350,201-250,=169,251-300,51-100,251-300,201-250,101-150,201-250,301-350,,201-250,,,151-200,,=99,,201-250
联邦半干旱农村大学,Universidade Federal Rural do Semi-Arido,巴西,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nove de Julho大学（Uninove）,Universidade Nove de Julho (Uninove),巴西,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴拉那联邦理工大学,Universidade Tecnologica Federal do Parana,巴西,-,1888,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威尼斯大学佛卡利分校,Universita Ca Foscari Venezia,意大利,-,1001,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣尼古拉-贝内文托大学,Università degli Studi del Sannio-Benevento,意大利,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佩鲁贾研究大学,Università degli Studi di Perugia,意大利,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,101-150,451-500,101-150,,401-450,,501-550,,351-400,,,,351-400,,,,,,,401-550,551-600,,,,,,,,,,,,,,,,,
坎帕尼亚大学凡维特里,Universita della Campania Vanvitelli,意大利,-,542,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布拉威再也大学,Universitas Brawijaya,印度尼西亚,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,251-300,,,,701-850,,,,,,,,,,,,,,,501-550,301-375,,451-500,,,401-450,,,351-400,,,,,,,
哈山努丁大学,Universitas Hasanuddin,印度尼西亚,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,251-300,,,,701-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
素叻大学穆罕默迪耶大学,Universitas Muhammadiyah Surakarta,印度尼西亚,-,-,1201,-,,,,,,,,,,,,=12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赫罗纳大学,Universitat de Girona,西班牙,-,933,801,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴利阿里大学,Universitat de les Illes Balears,西班牙,-,841,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加泰罗尼亚国际大学,Universitat Internacional de Catalunya,西班牙,-,1677,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡塞尔大学,Universitat Kassel,德国,-,1212,-,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特里尔大学,Universitat Trier,德国,-,1489,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒂米什瓦拉大学/西蒂米什瓦拉大学,Universitatea de Vest din Timisoara / West University of Timisoara,罗马尼亚,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴吉·莫赫塔尔大学-安纳巴,Université Badji Mokhtar--Annaba,阿尔及利亚,-,1855,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勃艮第-弗朗什-孔泰大学,Universite Bourgogne Franche-Comte (ComUE),法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
里尔戴高乐大学3,Université Charles-de-Gaulle Lille 3,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
联邦大学伦纳德·德·芬奇,Universite Confederale Leonard de Vinci,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布雷斯特大学,Universite de Brest,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡昂巴斯-诺曼底大学,Université de Caen Basse-Normandie,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
迦太基大学,Universite de Carthage,突尼斯,-,1296,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞尔吉·蓬图瓦兹大学,Université de Cergy-Pontoise,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿尔萨斯大学（UHA）,Universite de Haute-Alsace (UHA),法国,-,1784,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马努巴大学,Université de la Manouba,突尼斯,-,1428,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗谢尔大学,Université de La Rochelle,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
里昂大学,Universite de Lyon (ComUE),法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莫纳斯提尔大学,Universite de Monastir,突尼斯,-,1134,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴黎大学,Université de Paris,法国,-,-,-,-,,,,,,,,,,,,,,,,751-850,,,,,,,,=380,,,501-550,,251-300,,,,,,,,,,,,251-300,,551-600,,,,,,,,,,,,,,,,,
图卢兹第二大学,Université de Toulouse II-Le Mirail,法国,-,-,-,-,=381,151-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓦朗谢纳大学-坎布雷西斯分校,Universite de Valenciennes et du Hainaut-Cambresis,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凡尔赛大学,Université de Versailles Saint-Quentin-en-Yvelines,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃夫里瓦尔谷大学,Universite d'Evry-Val-d'Essonne,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴黎狄德罗大学7,Université Diderot Paris 7,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魁北克蒙特利尔大学,Université du Québec à Montréal,加拿大,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
图卢兹南部比利牛斯联合大学,Universite Federale Toulouse Midi-Pyrenees (ComUE),法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Université Frères Mentouri Constantine 1,Université Frères Mentouri Constantine 1,阿尔及利亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古斯塔夫-埃菲尔大学,Université Gustave Eiffel,法国,-,1144,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈桑第一大学,Université Hassan 1er,摩洛哥,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
里尔第一大学，科学技术,"Université Lille 1, Sciences et Technologies",法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
里尔第二大学法律与健康大学,Université Lille 2 Droit et Santé,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法国北部里尔大学,Universite Lille-Nord-de-France (ComUE),法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼斯索菲亚安提波利斯大学,Université Nice Sophia Antipolis,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴黎笛卡尔大学,Université Paris Descartes,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴黎塞纳大学（ComUE）,Universite Paris Seine (ComUE),法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴黎道芬大学，PSL大学,"Université Paris-Dauphine, Université PSL",法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴黎东大,Universite Paris-Est (ComUE),法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴黎南大学,Université Paris-Sud,法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佩皮尼昂大学通过多米蒂亚,Universite Perpignan Via Domitia,法国,-,1794,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皮埃尔和玛丽·居里大学（UPMC）,Université Pierre et Marie Curie (UPMC),法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法国高等技术大学,Université Polytechnique Hauts-de-France,法国,-,1526,1201,-,,,,,,,,,,,,,,,,751-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣约瑟夫德贝鲁斯大学,Université Saint-Joseph de Beyrouth,黎巴嫩,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
索邦巴黎西岱大学,Universite Sorbonne Paris Cite-USPC (ComUE),法国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗马生物医学自由大学,University Campus Bio-Medico - Rome Italy,意大利,-,1079,501,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鲁汶大学天主教徒,University Catholique of Louvain,比利时,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuyo Mendoza国家大学,University Nacional Cuyo Mendoza,阿根廷,-,1813,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿布贝克尔贝尔凯德特莱姆森大学,University of Abou Bekr Belkaïd Tlemcen,阿尔及利亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿格德大学,University of Agder,挪威,-,827,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿拉巴马大学汉茨维尔分校,University of Alabama in Huntsville,美国,-,1337,-,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
昂热大学,University of Angers,法国,-,1212,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安托法加斯塔大学,University of Antofagasta,智利,-,1592,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿奎拉大学,University of Aquila,意大利,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿肯色大学-小石城,University of Arkansas at Little Rock,美国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿肯色大学医学院,University of Arkansas for Medical Sciences,美国,-,1212,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥格斯堡大学,University of Augsburg,德国,-,1212,-,701,501-550,,,,,,,,,301-350,,,,,,751-850,,401-450,,,,,,,401-475,,,,651-700,,,,,,501-550,,401-450,,,,,,,,,,,,,401-450,,101-150,,,,,,,,
巴西利卡塔大学,University of Basilicata,意大利,-,1230,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贝德福德大学,University of Bedfordshire,英国,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贝拉英特拉大学,University of Beira Interior,葡萄牙,-,1555,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贝贾亚大学,University of Béjaïa,阿尔及利亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比亚韦斯托克大学,University of Bialystok,波兰,-,1314,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比尔詹德大学,University of Birjand,伊朗,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比斯克拉大学,University of Biskra,阿尔及利亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博茨瓦纳大学,University of Botswana,博茨瓦纳,-,1138,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布尔戈斯大学,University of Burgos,西班牙,-,1996,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勃艮第大学,University of Burgundy,法国,-,989,-,801,,51-100,,,,,,,,,,,,,401-450,451-500,,,,,401-450,,,171,101-150,,=196,,201-250,,151-200,,,=182,=155,201-275,351-400,,151-200,151-200,351-400,,201-250,,,101-170,,,,501-550,,,,,,,,,,
卡利亚里大学,University of Cagliari,意大利,-,641,601,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西北大学,Northwestern University,美国,42,24,31,33,=98,101-150,,151-200,,=66,51-100,,101-150,151-200,,39,101-150,,=69,118,51-100,=23,51-100,=96,=39,,,65,,22,=55,,=42,,,23,,=49,=15,151-200,151-200,,151-200,151-200,96,=19,=55,=29,25,51-100,=17,23,,12,=97,,=65,,5,82,,=36,51-100,=33
加州大学默塞德分校,"University of California, Merced",美国,-,763,401,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加州大学-旧金山,"University of California, San Francisco",美国,-,16,-,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡梅里诺大学,University of Camerino,意大利,-,1322,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
那不勒斯第二大学,University of Campania Luigi Vanvitelli,意大利,-,-,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海岸角大学,University of Cape Coast,加纳,-,913,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡萨布兰卡哈桑大学2,University of Casablanca Hassan 2,摩洛哥,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡西诺大学,University of Cassino,意大利,-,1419,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南卡希亚斯大学,University of Caxias do Sul,巴西,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
切斯特大学,University of Chester,英国,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
